id,city_name,city_name_zh,country,country_code,longitude,latitude,population,map_x,map_y,neighbors
CITY_1159150433,Castries,卡斯特里,Saint Lucia,LCA,-61.000008,14.001974,37963,0.868750,0.898709,CITY_1159150431;CITY_1159149847
CITY_1159150457,Saint John's,圣约翰,Antigua and Barbuda,ATG,-61.850034,17.118037,35499,0.863437,0.859265,CITY_1159150435
CITY_1159150447,Saint George's,圣乔治,Grenada,GRD,-61.741643,12.052633,33734,0.864115,0.923384,CITY_1159149307;CITY_1159150431
CITY_1159149847,Roseau,罗索,Dominica,DMA,-61.387013,15.301016,23336,0.866331,0.882266,CITY_1159150433
CITY_1159150435,Basseterre,巴斯特尔,Saint Kitts and Nevis,KNA,-62.717009,17.302031,21887,0.858019,0.856936,CITY_1159150457
CITY_1159151109,Belmopan,贝尔墨邦,Belize,BLZ,-88.767073,17.252034,15220,0.695206,0.857569,CITY_1159150909;CITY_1159150583;CITY_1159150769;CITY_1159150765
CITY_1159151569,Los Angeles,洛杉矶,United States of America,USA,-118.181926,33.991924,12500000,0.511363,0.645672,CITY_1159151479;CITY_1159151225;CITY_1159150483;CITY_1159149671
CITY_1159151491,Chicago,芝加哥,United States of America,USA,-87.752001,41.831937,8990000,0.701550,0.546431,CITY_1159151245;CITY_1159151219;CITY_1159151231;CITY_1159150517;CITY_1159149245;CITY_1159151063
CITY_1159151489,Atlanta,亚特兰大,United States of America,USA,-84.401895,33.831960,4506000,0.722488,0.647697,CITY_1159151241;CITY_1159150517;CITY_1159150513;CITY_1159150521;CITY_1159149283;CITY_1159124899
CITY_1159151239,Boston,波士顿,United States of America,USA,-71.071960,42.331906,4467000,0.805800,0.540102,CITY_1159151059;CITY_1159151185;CITY_1159151065;CITY_1159133587
CITY_1159151479,San Francisco,旧金山,United States of America,USA,-122.417169,37.769196,3450000,0.484893,0.597858,CITY_1159151569;CITY_1159150483;CITY_1159147375;CITY_1159149227
CITY_1159151235,Dallas,达拉斯,United States of America,USA,-96.841963,32.821970,4798000,0.644738,0.660481,CITY_1159151485;CITY_1159149245;CITY_1159150521;CITY_1159146249;CITY_1159132885;CITY_1159133107
CITY_1159151485,Houston,休斯敦,United States of America,USA,-95.341925,29.821920,4459000,0.654113,0.698457,CITY_1159151235;CITY_1159150521;CITY_1159151233;CITY_1159133107
CITY_1159151293,Guadalajara,瓜达拉哈拉,Mexico,MEX,-103.331980,20.671962,4198000,0.604175,0.814279,CITY_1159151587;CITY_1159151527;CITY_1159149667
CITY_1159151245,Detroit,底特律,United States of America,USA,-83.082002,42.331906,4101000,0.730737,0.540102,CITY_1159151491;CITY_1159150517;CITY_1159150513;CITY_1159148905;CITY_1159133587;CITY_1159151063
CITY_1159151527,Monterrey,蒙特雷,Mexico,MEX,-100.331931,25.671941,3712000,0.622925,0.750988,CITY_1159151587;CITY_1159151293;CITY_1159149667;CITY_1159146791;CITY_1159133107
CITY_1159151225,Phoenix,菲尼克斯,United States of America,USA,-112.071938,33.541926,3551000,0.549550,0.651368,CITY_1159151569;CITY_1159151483;CITY_1159150483;CITY_1159146789;CITY_1159150489;CITY_1159149237;CITY_1159149671
CITY_1159151223,Seattle,西雅图,United States of America,USA,-122.341931,47.571948,3074000,0.485363,0.473773,CITY_1159149215;CITY_1159147375;CITY_1159148857;CITY_1159148861;CITY_1159150555
CITY_1159151219,Minneapolis,明尼阿波利斯,United States of America,USA,-93.253732,44.981925,2616000,0.667164,0.506558,CITY_1159151491;CITY_1159149245;CITY_1159151025;CITY_1159151063;CITY_1159132915
CITY_1159151181,San Juan,圣胡安,Puerto Rico,PRI,-66.129979,18.440023,2478905,0.836688,0.842531,CITY_1159151401
CITY_1159151241,Tampa,坦帕,United States of America,USA,-82.460567,27.948934,2314000,0.734621,0.722165,CITY_1159151489;CITY_1159149283;CITY_1159124899
CITY_1159151483,Denver,丹佛,United States of America,USA,-104.985962,39.741134,2313000,0.593838,0.572897,CITY_1159151225;CITY_1159149245;CITY_1159150489;CITY_1159149237;CITY_1159146249;CITY_1159149199;CITY_1159146231
CITY_1159151231,St. Louis,圣路易斯,United States of America,USA,-90.241926,38.636964,2199000,0.685988,0.586874,CITY_1159151491;CITY_1159150517;CITY_1159149245;CITY_1159150521
CITY_1159150483,Las Vegas,拉斯维加斯,United States of America,USA,-115.221952,36.211944,1823000,0.529863,0.617570,CITY_1159151569;CITY_1159151479;CITY_1159151225;CITY_1159150489;CITY_1159150477;CITY_1159147375
CITY_1159150517,Cincinnati,辛辛那提,United States of America,USA,-84.458869,39.163831,1636000,0.722132,0.580205,CITY_1159151491;CITY_1159151489;CITY_1159151245;CITY_1159151231;CITY_1159150513;CITY_1159150521
CITY_1159149245,Kansas City,堪萨斯城,United States of America,USA,-94.606040,39.109034,1469000,0.658712,0.580898,CITY_1159151491;CITY_1159151235;CITY_1159151219;CITY_1159151483;CITY_1159151231;CITY_1159150521;CITY_1159146249;CITY_1159132885;CITY_1159132915
CITY_1159146789,Ciudad Juarez,華雷斯城,Mexico,MEX,-106.491994,31.692323,1343000,0.584425,0.674781,CITY_1159151225;CITY_1159149237;CITY_1159149671;CITY_1159146249;CITY_1159146791
CITY_1159150513,Raleigh,罗利,United States of America,USA,-78.644693,35.818781,1163515,0.758471,0.622547,CITY_1159151573;CITY_1159151489;CITY_1159151245;CITY_1159150517;CITY_1159149283;CITY_1159133587
CITY_1159151035,Calgary,卡尔加里,Canada,CAN,-114.081944,51.084938,1110000,0.536988,0.429305,CITY_1159149215;CITY_1159151033;CITY_1159149199;CITY_1159148857;CITY_1159148861
CITY_1159150521,Memphis,孟菲斯,United States of America,USA,-90.001941,35.121933,1081000,0.687488,0.631368,CITY_1159151489;CITY_1159151235;CITY_1159151485;CITY_1159151231;CITY_1159150517;CITY_1159149245;CITY_1159151233;CITY_1159124899;CITY_1159132885
CITY_1159150489,Salt Lake City,盐湖城,United States of America,USA,-111.931998,40.776962,966000,0.550425,0.559785,CITY_1159151225;CITY_1159151483;CITY_1159150483;CITY_1159150477;CITY_1159149199
CITY_1159150769,Merida,梅里达,Mexico,MEX,-89.618579,20.968585,965000,0.689884,0.810524,CITY_1159151109;CITY_1159150765
CITY_1159149237,Albuquerque,阿尔伯克基,United States of America,USA,-106.641331,35.104975,898642,0.583492,0.631583,CITY_1159151225;CITY_1159151483;CITY_1159146789;CITY_1159146249
CITY_1159149667,Culiacan,库利亚坎,Mexico,MEX,-107.381914,24.831941,809000,0.578863,0.761621,CITY_1159151293;CITY_1159151527;CITY_1159149671;CITY_1159146791
CITY_1159151221,Honolulu,檀香山,United States of America,USA,-157.859944,21.308822,786000,0.263375,0.806217,CITY_1159149227
CITY_1159151233,New Orleans,新奥尔良,United States of America,USA,-90.041913,29.996948,785000,0.687238,0.696241,CITY_1159151485;CITY_1159150521;CITY_1159124899
CITY_1159151025,Winnipeg,温尼伯,Canada,CAN,-97.165992,49.882988,632063,0.642713,0.444519,CITY_1159151219;CITY_1159151033;CITY_1159151063;CITY_1159132915;CITY_1159146231
CITY_1159151065,Quebec,魁北克,Canada,CAN,-71.245610,46.839969,624177,0.804715,0.483038,CITY_1159151059;CITY_1159151239;CITY_1159151069;CITY_1159148905;CITY_1159151071;CITY_1159151063
CITY_1159149671,Hermosillo,埃莫西约,Mexico,MEX,-110.954065,29.098881,595811,0.556537,0.707609,CITY_1159151569;CITY_1159151225;CITY_1159146789;CITY_1159149667;CITY_1159146791;CITY_1159129119
CITY_1159149687,Oaxaca,瓦哈卡,Mexico,MEX,-96.669950,17.082690,530728,0.645813,0.859713,CITY_1159151587;CITY_1159150765
CITY_1159150765,Tuxtla Gutierrez,图斯特拉－古铁雷斯,Mexico,MEX,-93.150010,16.749997,481128,0.667812,0.863924,CITY_1159150909;CITY_1159151109;CITY_1159150769;CITY_1159149687
CITY_1159151069,Halifax,哈利法克斯,Canada,CAN,-63.600005,44.650025,359111,0.852500,0.510759,CITY_1159151065
CITY_1159149215,Spokane,斯波坎,United States of America,USA,-117.419949,47.669996,347705,0.516125,0.472532,CITY_1159151223;CITY_1159151035;CITY_1159150477;CITY_1159147375;CITY_1159149199;CITY_1159148857
CITY_1159146921,Camaguey,卡马圭,Cuba,CUB,-77.916934,21.380825,347562,0.763019,0.805306,CITY_1159151347;CITY_1159150589;CITY_1159150855;CITY_1159151207
CITY_1159150477,Boise,博伊西,United States of America,USA,-116.227490,43.608590,338071,0.523578,0.523942,CITY_1159150483;CITY_1159150489;CITY_1159149215;CITY_1159147375;CITY_1159149199
CITY_1159151249,Anchorage,安克雷奇,United States of America,USA,-149.900215,61.219970,260283,0.313124,0.301013,CITY_1159150557
CITY_1159147375,Eugene,尤金,United States of America,USA,-123.100016,44.050010,245158,0.480625,0.518354,CITY_1159151479;CITY_1159151223;CITY_1159150483;CITY_1159149215;CITY_1159150477;CITY_1159149227
CITY_1159146249,Lubbock,拉伯克,United States of America,USA,-101.879968,33.580003,213300,0.613250,0.650886,CITY_1159151235;CITY_1159151483;CITY_1159149245;CITY_1159146789;CITY_1159149237;CITY_1159146791;CITY_1159133107
CITY_1159151033,Saskatoon,萨斯卡通,Canada,CAN,-106.669985,52.170031,198958,0.583313,0.415569,CITY_1159151035;CITY_1159151025;CITY_1159149199;CITY_1159146231;CITY_1159148861
CITY_1159149283,Savannah,萨凡纳,United States of America,USA,-81.109995,32.021106,180187,0.743063,0.670619,CITY_1159151489;CITY_1159151241;CITY_1159150513
CITY_1159148905,Sudbury,大萨德伯里,Canada,CAN,-80.966645,46.499990,157857,0.743958,0.487342,CITY_1159151059;CITY_1159151245;CITY_1159151065;CITY_1159133587;CITY_1159151063
CITY_1159133587,Binghamton,宾汉姆顿,United States of America,USA,-75.918322,42.099018,139895,0.775510,0.543050,CITY_1159151573;CITY_1159151059;CITY_1159151239;CITY_1159151245;CITY_1159150513;CITY_1159148905
CITY_1159151071,St. John's,圣约翰斯,Canada,CAN,-52.681007,47.584988,131469,0.920744,0.473608,CITY_1159151065
CITY_1159146791,Delicias,德利西亚斯,Mexico,MEX,-105.499979,28.199970,114783,0.590625,0.718988,CITY_1159151527;CITY_1159146789;CITY_1159149667;CITY_1159149671;CITY_1159146249;CITY_1159133107
CITY_1159149199,Billings,比灵斯,United States of America,USA,-108.540000,45.788302,104552,0.571625,0.496351,CITY_1159151483;CITY_1159151035;CITY_1159150489;CITY_1159149215;CITY_1159150477;CITY_1159151033;CITY_1159146231
CITY_1159124899,Panama City,巴拿马城,United States of America,USA,-85.655273,30.158610,100072,0.714655,0.694195,CITY_1159151489;CITY_1159151241;CITY_1159150521;CITY_1159151233
CITY_1159151063,Thunder Bay,桑德贝,Canada,CAN,-89.274975,48.446150,99334,0.692031,0.462707,CITY_1159151491;CITY_1159151245;CITY_1159151219;CITY_1159151025;CITY_1159151065;CITY_1159148905
CITY_1159132885,Fort Smith,斯密斯堡,United States of America,USA,-94.398357,35.386224,93988,0.660010,0.628022,CITY_1159151235;CITY_1159149245;CITY_1159150521
CITY_1159132915,Sioux City,苏城,United States of America,USA,-96.399992,42.500389,90932,0.647500,0.537970,CITY_1159151219;CITY_1159149245;CITY_1159151025;CITY_1159146231
CITY_1159146231,Rapid City,拉皮德城,United States of America,USA,-103.230557,44.080551,73632,0.604809,0.517968,CITY_1159151483;CITY_1159151025;CITY_1159151033;CITY_1159149199;CITY_1159132915
CITY_1159148857,Kamloops,坎卢普斯,Canada,CAN,-120.333286,50.666661,68714,0.497917,0.434599,CITY_1159151223;CITY_1159151035;CITY_1159149215;CITY_1159148861
CITY_1159148861,Prince George,乔治王子城,Canada,CAN,-122.766652,53.916669,65558,0.482708,0.393460,CITY_1159151223;CITY_1159151035;CITY_1159151033;CITY_1159148857;CITY_1159150555
CITY_1159150557,Fairbanks,费尔班克斯,United States of America,USA,-147.710659,64.836984,56993,0.326808,0.255228,CITY_1159151249;CITY_1159150555
CITY_1159146421,Puerto Cabezas,卡贝萨斯港,Nicaragua,NIC,-83.383371,14.033341,43001,0.728854,0.898312,CITY_1159150583;CITY_1159150623
CITY_1159149227,Eureka,尤里卡,United States of America,USA,-124.147497,40.802224,42398,0.474078,0.559466,CITY_1159151479;CITY_1159151221;CITY_1159147375
CITY_1159129119,Ciudad Constitucion,孔斯蒂图西翁城,Mexico,MEX,-111.659991,25.040008,39915,0.552125,0.758987,CITY_1159149671
CITY_1159133107,Del Rio,德尔里奥,United States of America,USA,-100.896384,29.362948,36068,0.619398,0.704266,CITY_1159151235;CITY_1159151485;CITY_1159151527;CITY_1159146249;CITY_1159146791
CITY_1159150555,Juneau,朱諾,United States of America,USA,-134.419997,58.314127,30711,0.409875,0.337796,CITY_1159151223;CITY_1159148861;CITY_1159150557
