id,type,chapter,trigger,jump,unlockKind,unlockTarget,unlockValue,unlockHint
LCE02,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
YSB01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
XYG01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
LXP01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
AH02,支线,支线剧情,EV015完成后,对应主线:EV015,story,EV015,1,完成主线 EV015 后开放。
JL01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
HY01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
YY01,支线,支线剧情,EV015完成后,对应主线:EV015,story,EV015,1,完成主线 EV015 后开放。
HX01,支线,支线剧情,EV015完成后,对应主线:EV015,story,EV015,1,完成主线 EV015 后开放。
DY01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
SD01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
XS01,支线,支线剧情,EV015完成后,对应主线:EV015,story,EV015,1,完成主线 EV015 后开放。
HDZ02,支线,支线剧情,EV015完成后,对应主线:EV015,story,EV015,1,完成主线 EV015 后开放。
BTB01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
MLX01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
HQF01,支线,支线剧情,EV018完成后,对应主线:EV018,story,EV018,1,完成主线 EV018 后开放。
JSJ01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
WLG01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
DXX01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
DXY01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
WCD02,支线,支线剧情,EV015完成后,对应主线:EV015,story,EV015,1,完成主线 EV015 后开放。
ZBQ01,支线,支线剧情,EV018完成后,对应主线:EV018,story,EV018,1,完成主线 EV018 后开放。
QM01,支线,支线剧情,EV018完成后,对应主线:EV018,story,EV018,1,完成主线 EV018 后开放。
XBY01,支线,支线剧情,EV014完成后,对应主线:EV014,story,EV014,1,完成主线 EV014 后开放。
SWJ01,支线,支线剧情,EV018完成后,对应主线:EV018,story,EV018,1,完成主线 EV018 后开放。
HD201,支线,支线剧情,EV018完成后,对应主线:EV018,story,EV018,1,完成主线 EV018 后开放。
EV021,主线,第三章：战略地图打开,EV020完成后,对应主线:EV020,quest,main_05,1,完成任务「情报网成形」：情报网达到2级。
EV022,主线,第三章：春风化雨,EV021完成后,对应主线:EV021,story,EV021,1,完成上一段主线 EV021。
EV023,主线,第三章：春风化雨,EV022完成后,对应主线:EV022,story,EV022,1,完成上一段主线 EV022。
EV024,主线,第三章：春风化雨,EV023完成后,对应主线:EV023,story,EV023,1,完成上一段主线 EV023。
EV025,可选项,第三章：高压对抗,EV024完成后,,trainingExp,,120,体能或训练进度达到120，角色才足以参加高压对抗。
EV026,主线,第三章：春风化雨,EV025完成后,对应主线:EV025,story,EV025,1,完成上一段主线 EV025。
EV027,主线,第三章：春风化雨,EV026完成后,对应主线:EV026,story,EV026,1,完成上一段主线 EV026。
EV028,主线,第三章：春风化雨,EV027完成后,对应主线:EV027,story,EV027,1,完成上一段主线 EV027。
EV029,主线,第三章：春风化雨,EV028完成后,对应主线:EV028,story,EV028,1,完成上一段主线 EV028。
EV030,主线,第三章：春风化雨,EV029完成后,对应主线:EV029,story,EV029,1,完成上一段主线 EV029。
ZHF02,支线,支线剧情,EV027完成后,对应主线:EV027,story,EV027,1,完成主线 EV027 后开放。
QSS02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
SBC02,支线,支线剧情,EV026完成后,对应主线:EV026,story,EV026,1,完成主线 EV026 后开放。
HZY02,支线,支线剧情,EV030完成后,对应主线:EV030,story,EV030,1,完成主线 EV030 后开放。
ZMZ01,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
FTS02,支线,支线剧情,EV028完成后,对应主线:EV028,story,EV028,1,完成主线 EV028 后开放。
MQH02,支线,支线剧情,EV028完成后,对应主线:EV028,story,EV028,1,完成主线 EV028 后开放。
FYJ02,支线,支线剧情,EV025完成后,对应主线:EV025,story,EV025,1,完成主线 EV025 后开放。
WTZ02,支线,支线剧情,EV024完成后,对应主线:EV024,story,EV024,1,完成主线 EV024 后开放。
ZM02,支线,支线剧情,EV024完成后,对应主线:EV024,story,EV024,1,完成主线 EV024 后开放。
LPS02,支线,支线剧情,EV024完成后,对应主线:EV024,story,EV024,1,完成主线 EV024 后开放。
CQF02,支线,支线剧情,EV026完成后,对应主线:EV026,story,EV026,1,完成主线 EV026 后开放。
QBZ02,支线,支线剧情,EV021完成后,对应主线:EV021,story,EV021,1,完成主线 EV021 后开放。
BY02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
HY02,支线,支线剧情,EV026完成后,对应主线:EV026,story,EV026,1,完成主线 EV026 后开放。
HF02,支线,支线剧情,EV024完成后,对应主线:EV024,story,EV024,1,完成主线 EV024 后开放。
HX02,支线,支线剧情,EV029完成后,对应主线:EV029,story,EV029,1,完成主线 EV029 后开放。
TP02,支线,支线剧情,EV028完成后,对应主线:EV028,story,EV028,1,完成主线 EV028 后开放。
SY02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
HL02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
YN02,支线,支线剧情,EV029完成后,对应主线:EV029,story,EV029,1,完成主线 EV029 后开放。
LQM02,支线,支线剧情,EV023完成后,对应主线:EV023,story,EV023,1,完成主线 EV023 后开放。
BTB02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
YQS02,支线,支线剧情,EV023完成后,对应主线:EV023,story,EV023,1,完成主线 EV023 后开放。
CF02,支线,支线剧情,EV023完成后,对应主线:EV023,story,EV023,1,完成主线 EV023 后开放。
XFG02,支线,支线剧情,EV023完成后,对应主线:EV023,story,EV023,1,完成主线 EV023 后开放。
TMW02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
CFZ02,支线,支线剧情,EV022完成后,对应主线:EV022,story,EV022,1,完成主线 EV022 后开放。
ZSJ02,支线,支线剧情,EV023完成后,对应主线:EV023,story,EV023,1,完成主线 EV023 后开放。
YSY02,支线,支线剧情,EV023完成后,对应主线:EV023,story,EV023,1,完成主线 EV023 后开放。
TH01,支线,支线剧情,EV027完成后,对应主线:EV027,story,EV027,1,完成主线 EV027 后开放。
YG01,支线,支线剧情,EV028完成后,对应主线:EV028,story,EV028,1,完成主线 EV028 后开放。
LJ02,支线,支线剧情,EV024完成后,对应主线:EV024,story,EV024,1,完成主线 EV024 后开放。
EV031,主线,第四章：夏季大演习,EV030完成后,对应主线:EV030,anyCourseLevel,,3,任意课程达到3级，取得夏季大演习资格。
EV032,可选项,第四章：盛夏风云,EV031完成后,→EV033-A,story,EV031,1,完成上一段主线 EV031。
EV033,主线,第四章：盛夏风云,EV032完成后,对应主线:EV032,story,EV032,1,完成上一段主线 EV032。
EV034,可选项,第四章：盛夏风云,EV033完成后,,story,EV033,1,完成上一段主线 EV033。
EV035,主线,第四章：盛夏风云,EV034完成后,对应主线:EV034,story,EV034,1,完成上一段主线 EV034。
EV036,可选项,第四章：盛夏风云,EV035完成后,,story,EV035,1,完成上一段主线 EV035。
EV037,主线,第四章：盛夏风云,EV036完成后,对应主线:EV036,story,EV036,1,完成上一段主线 EV036。
EV038,可选项,第四章：胜利后的选择,EV037完成后,→军演危机,quest,main_06,1,完成任务「首次军演胜利」：赢得一场战棋。
ZHY03,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
QSS03,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
SCA02,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
ZMZ02,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
GTY03,支线,支线剧情,EV038完成后,对应主线:EV038,story,EV038,1,完成主线 EV038 后开放。
QRY02,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
STY02,支线,支线剧情,EV037完成后,对应主线:EV037,story,EV037,1,完成主线 EV037 后开放。
GCE02,支线,支线剧情,EV032完成后,对应主线:EV032,story,EV032,1,完成主线 EV032 后开放。
LCE03,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
YSB02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
XYG02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
WLZ02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
GWJ02,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
WDD02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
ZG02,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
AH03,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
JL02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
YY02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
DY02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
SD02,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
XS02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
MLX02,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
HQF02,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
JSJ02,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
SGD02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
WLG02,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
DXX02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
WCD03,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
JJF02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
ZBQ02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
XSY02,支线,支线剧情,EV036完成后,对应主线:EV036,story,EV036,1,完成主线 EV036 后开放。
XXF02,支线,支线剧情,EV033完成后,对应主线:EV033,story,EV033,1,完成主线 EV033 后开放。
HD01,支线,支线剧情,EV035完成后,对应主线:EV035,story,EV035,1,完成主线 EV035 后开放。
TZ01,支线,支线剧情,EV031完成后,对应主线:EV031,story,EV031,1,完成主线 EV031 后开放。
EV039,主线,第五章：战报回流,EV038完成后,EV038,story,EV038,1,完成上一段主线 EV038。
EV040,正常文本,第五章：二年级·激流,EV039完成后,EV039,story,EV039,1,完成上一段主线 EV039。
EV041,正常文本,第五章：二年级·激流,EV040完成后,EV040,story,EV040,1,完成上一段主线 EV040。
EV042,正常文本,第五章：二年级·激流,EV041完成后,EV041,story,EV041,1,完成上一段主线 EV041。
EV043,正常文本,第五章：二年级·激流,EV042完成后,EV042,story,EV042,1,完成上一段主线 EV042。
EV044,正常文本,第五章：二年级·激流,EV043完成后,EV043,story,EV043,1,完成上一段主线 EV043。
EV045,正常文本,第五章：二年级·激流,EV044完成后,EV044,story,EV044,1,完成上一段主线 EV044。
EV046,正常文本,第五章：二年级·激流,EV045完成后,EV045,story,EV045,1,完成上一段主线 EV045。
EV047,正常文本,第五章：二年级·激流,EV046完成后,EV046,story,EV046,1,完成上一段主线 EV046。
EV048,正常文本,第五章：二年级·激流,EV047完成后,EV047,story,EV047,1,完成上一段主线 EV047。
EV049,正常文本,第五章：二年级·激流,EV048完成后,EV048,story,EV048,1,完成上一段主线 EV048。
FG03,正常文本,支线剧情,EV063完成后,EV063,story,EV063,1,完成主线 EV063 后开放。
HD02,正常文本,支线剧情,EV054完成后,EV054,story,EV054,1,完成主线 EV054 后开放。
HD203,正常文本,支线剧情,EV061完成后,EV061,story,EV061,1,完成主线 EV061 后开放。
LJ03,正常文本,支线剧情,EV053完成后,EV053,story,EV053,1,完成主线 EV053 后开放。
SWJ03,正常文本,支线剧情,EV064完成后,EV064,story,EV064,1,完成主线 EV064 后开放。
TZ02,正常文本,支线剧情,EV053完成后,EV053,story,EV053,1,完成主线 EV053 后开放。
XBY03,正常文本,支线剧情,EV061完成后,EV061,story,EV061,1,完成主线 EV061 后开放。
YG03,正常文本,支线剧情,EV063完成后,EV063,story,EV063,1,完成主线 EV063 后开放。
YZ03,正常文本,支线剧情,EV054完成后,EV054,story,EV054,1,完成主线 EV054 后开放。
ZHF03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
SBC03,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
SCA03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
HZY03,正常文本,支线剧情,EV046完成后,EV046,story,EV046,1,完成主线 EV046 后开放。
ZHY05,正常文本,支线剧情,EV065完成后,EV065,story,EV065,1,完成主线 EV065 后开放。
ZMZ03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
FTS03,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
MQH03,正常文本,支线剧情,EV045完成后,EV045,story,EV045,1,完成主线 EV045 后开放。
FYJ03,正常文本,支线剧情,EV045完成后,EV045,story,EV045,1,完成主线 EV045 后开放。
WTZ03,正常文本,支线剧情,EV045完成后,EV045,story,EV045,1,完成主线 EV045 后开放。
ZM03,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
LPS03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
CQF03,正常文本,支线剧情,EV046完成后,EV046,story,EV046,1,完成主线 EV046 后开放。
YSB03,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
XYG03,正常文本,支线剧情,EV046完成后,EV046,story,EV046,1,完成主线 EV046 后开放。
WLZ03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
QBZ03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
GWJ03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
LXP02,正常文本,支线剧情,EV045完成后,EV045,story,EV045,1,完成主线 EV045 后开放。
YST02,正常文本,支线剧情,EV046完成后,EV046,story,EV046,1,完成主线 EV046 后开放。
BY03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
JL03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
HY03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
HF03,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
HX03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
TP03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
SY03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
DY03,正常文本,支线剧情,EV046完成后,EV046,story,EV046,1,完成主线 EV046 后开放。
HDZ03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
LQM03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
BTB03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
MLX03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
HQF03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
YQS03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
JSJ03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
SGD03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
WLG03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
DXX03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
HXM02,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
DXY02,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
YBM02,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
WCD04,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
WCD05,正常文本,支线剧情,EV048完成后,EV048,story,EV048,1,完成主线 EV048 后开放。
CF03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
XFG03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
TMW03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
CFZ03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
JJF03,正常文本,支线剧情,EV046完成后,EV046,story,EV046,1,完成主线 EV046 后开放。
ZBQ03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
ZSJ03,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
YSY03,正常文本,支线剧情,EV042完成后,EV042,story,EV042,1,完成主线 EV042 后开放。
XSY03,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
ZM202,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
TJ02,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
YZ02,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
TH02,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
QM02,正常文本,支线剧情,EV043完成后,EV043,story,EV043,1,完成主线 EV043 后开放。
XBY02,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
YG02,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
SWJ02,正常文本,支线剧情,EV047完成后,EV047,story,EV047,1,完成主线 EV047 后开放。
FG02,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
HD202,正常文本,支线剧情,EV041完成后,EV041,story,EV041,1,完成主线 EV041 后开放。
EV050,主线,第六章：毕业前整备,EV049完成后,EV049,quest,main_08,1,完成任务「毕业前整备」：情报值达到45。
EV051,正常文本,第六章：风雨欲来,EV050完成后,EV050,story,EV050,1,完成上一段主线 EV050。
